,arguments,n_sentences,n_args,inf_dens,init_coms,bdd_local_time
0,"[[4, 2, 1], [-3, -2], [5, 2], [-2, 1, 3]]",5,4,0.2830074998557688,"{1, 2, -5, -4}",0.2129778999988048
1,"[[4, 2, 1], [-3, -2], [5, 2], [-2, 1, 3]]",5,4,0.2830074998557688,"{1, 3, 4, -5}",0.011728999999832013
2,"[[4, 2, 1], [-3, -2], [5, 2], [-2, 1, 3]]",5,4,0.2830074998557688,"{2, 3, 4, -5}",0.015486000000237254
3,"[[2, -4, 1], [-5, -4], [-3, -4, 1], [1, -5]]",5,4,0.33561438102252755,"{2, -5, -3}",0.010115600000062841
4,"[[2, -4, 1], [-5, -4], [-3, -4, 1], [1, -5]]",5,4,0.33561438102252755,"{1, -5, -3}",0.009429899999304325
5,"[[2, -4, 1], [-5, -4], [-3, -4, 1], [1, -5]]",5,4,0.33561438102252755,"{1, -3}",0.008001500000318629
6,"[[-5, -4], [-1, 5], [3, 2, 5], [-4, 3, -1]]",5,4,0.2,"{1, 4, 5, -2}",0.008655199999338947
7,"[[-5, -4], [-1, 5], [3, 2, 5], [-4, 3, -1]]",5,4,0.2,"{2, 5, -4, -3, -1}",0.01138379999974859
8,"[[-5, -4], [-1, 5], [3, 2, 5], [-4, 3, -1]]",5,4,0.2,"{3, 4, -5}",0.009834899999987101
9,"[[-4, -5], [3, 1, -4], [3, 2, -5], [1, 3]]",5,4,0.25991205637178155,"{2, 4, -5, -3, -1}",0.009310999999797787
10,"[[-4, -5], [3, 1, -4], [3, 2, -5], [1, 3]]",5,4,0.25991205637178155,"{-5, -4, -1, -2}",0.010221399999863934
11,"[[-4, -5], [3, 1, -4], [3, 2, -5], [1, 3]]",5,4,0.25991205637178155,"{1, -5, -4}",0.010751800000434741
12,"[[5, 1, -4], [-2, -1], [3, -5], [-4, 5, 1]]",5,4,0.21862188087829626,"{-4, 5, -1}",0.01262019999921904
13,"[[5, 1, -4], [-2, -1], [3, -5], [-4, 5, 1]]",5,4,0.21862188087829626,"{4, 5, -1}",0.0123565999983839
14,"[[5, 1, -4], [-2, -1], [3, -5], [-4, 5, 1]]",5,4,0.21862188087829626,"{3, 4, 5, -1, -2}",0.016223100001298008
15,"[[4, -2, -1], [5, 3, 2], [4, -1, 2], [-4, -1, 2], [-5, 3, 4]]",5,5,0.2,"{1, -5, 4}",0.013762399999905028
16,"[[4, -2, -1], [5, 3, 2], [4, -1, 2], [-4, -1, 2], [-5, 3, 4]]",5,5,0.2,"{1, 2}",0.011454399998910958
17,"[[4, -2, -1], [5, 3, 2], [4, -1, 2], [-4, -1, 2], [-5, 3, 4]]",5,5,0.2,"{3, -4, 5}",0.014756199998373631
18,"[[2, 5, -3], [4, -3], [1, -2], [4, -3, 5], [-2, 4, 3]]",5,5,0.2830074998557688,"{3, -4, -2}",0.016177100000277278
19,"[[2, 5, -3], [4, -3], [1, -2], [4, -3, 5], [-2, 4, 3]]",5,5,0.2830074998557688,"{1, 2, 3, 4, 5}",0.01500810000106867
20,"[[2, 5, -3], [4, -3], [1, -2], [4, -3, 5], [-2, 4, 3]]",5,5,0.2830074998557688,"{2, 3, -4, -1}",0.013195099998483784
21,"[[3, -2, 4], [-5, 1, 2], [-1, 5], [1, -4], [-2, -3, -4]]",5,5,0.30811367627254055,"{-5, 4, -1, -2}",0.015169500000411063
22,"[[3, -2, 4], [-5, 1, 2], [-1, 5], [1, -4], [-2, -3, -4]]",5,5,0.30811367627254055,"{-4, 5, -2}",0.010702399998990586
23,"[[3, -2, 4], [-5, 1, 2], [-1, 5], [1, -4], [-2, -3, -4]]",5,5,0.30811367627254055,"{2, 3, 5}",0.01299250000010943
24,"[[-5, 2, 1], [-3, 2], [4, -5], [-1, 2, 4], [5, 4]]",5,5,0.4,"{2, 3, 4, -5}",0.012274400000023888
25,"[[-5, 2, 1], [-3, 2], [4, -5], [-1, 2, 4], [5, 4]]",5,5,0.4,{-5},0.00792600000022503
26,"[[-5, 2, 1], [-3, 2], [4, -5], [-1, 2, 4], [5, 4]]",5,5,0.4,"{1, 2, -4}",0.009698399999251706
27,"[[5, -1, 3], [-4, -2, 3], [4, -2, 5], [5, 2, -3], [-5, 4]]",5,5,0.30811367627254055,"{3, -4, -2}",0.01147540000056324
28,"[[5, -1, 3], [-4, -2, 3], [4, -2, 5], [5, 2, -3], [-5, 4]]",5,5,0.30811367627254055,"{1, 2}",0.00844659999893338
29,"[[5, -1, 3], [-4, -2, 3], [4, -2, 5], [5, 2, -3], [-5, 4]]",5,5,0.30811367627254055,"{3, 5, -1}",0.00977729999976873
