model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_coms_min_ax_bases_theory,n_fixed_point_coms_min_ax_base_theory,fixed_point_theory,fixed_point_theory_closure,fixed_point_theory_axioms,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,coms_evolution,theory_evolution,process_length,global optima
GlobalNumpyReflectiveEquilibrium,"[[1, 4], [-8, -4], [9, 1], [-3, 9], [6, -8], [-7, 4], [5, -7], [2, -3], [-8, 6], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,18,0.5458374620832956,17,2,0,set(),[],{2},1,0,0,3,True,False,{-2},1,0,0,True,True,14,[set()],0,{-2},{-2},"[{-1}, {-2}, {6}, {3}, {-4}, {-8}, {-9}]","[0, 0.995679012345679, 0.9987654320987654, 0.9987654320987654, 0.9987654320987654, 0.9987654320987654]",True,2,1,1,0,0,8,[],"[{2}, {-2}, {-2}]","[{-2}, {-2}, {-2}]",6,"{({2}, {1, 2, 4, 8, 9, -6, -3})}"
GlobalNumpyReflectiveEquilibrium,"[[1, 4], [-8, -4], [9, 1], [-3, 9], [6, -8], [-7, 4], [5, -7], [2, -3], [-8, 6], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,18,0.5458374620832956,17,2,0,set(),[],{-2},1,0,0,14,True,True,{-2},1,0,0,True,True,14,[set()],0,{-2},{-2},"[{-1}, {-2}, {6}, {3}, {-4}, {-8}, {-9}]","[0, 1.0, 1.0, 1.0]",True,0,0,0,0,0,9,[],"[{-2}, {-2}]","[{-2}, {-2}]",4,"{({-8}, {3, 6, 7, -1, -9, -8, -5, -4, -2}), ({-4}, {3, 7, -1, -9, -5, -4, -2}), ({-2}, {-2}), ({-1}, {3, -2, -1, -9}), ({3}, {3, -2}), ({-9}, {3, -2, -9}), ({6}, {3, 6, 7, -1, -9, -8, -5, -4, -2})}"
GlobalNumpyReflectiveEquilibrium,"[[5, 9], [1, 9], [-7, 5], [2, 5], [6, 2], [4, -5], [-8, -1], [3, 1], [5, -1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,18,0.49055972214209376,24,2,0,set(),[],{2},1,0,0,8,True,False,{-3},1,0,0,True,True,22,[set()],0,{-3},{-3},"[{-1}, {5}, {-7}, {-3}, {6}, {-8}, {-9}, {2}]","[0, 0.9926975308641975, 0.9987654320987654, 0.9987654320987654, 0.9987654320987654, 0.9987654320987654]",True,2,2,0,1,1,7,[1],"[{2}, {-3}, {-3}]","[{-3}, {-3}, {-3}]",6,"{({6}, {2, 5, 6, 9, -4, -3, -1}), ({2}, {2, 5, 9, -4, -3, -1})}"
GlobalNumpyReflectiveEquilibrium,"[[5, 9], [1, 9], [-7, 5], [2, 5], [6, 2], [4, -5], [-8, -1], [3, 1], [5, -1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,18,0.49055972214209376,24,2,0,set(),[],{-2},1,0,0,16,True,False,"{-6, -2}",2,0,0,True,True,16,[set()],0,{-2},"{-6, -2}","[{-9}, {-2}, {3}, {4}, {1}, {-5}]","[0, 0.9996111111111111, 1.0, 1.0, 1.0, 1.0]",True,1,1,0,1,0,8,[],"[{-2}, {-6, -2}, {-6, -2}]","[{-2}, {-2}, {-2}]",6,"{({4}, {4, 7, -6, -5, -2}), ({1}, {1, 7, 8, 9, -6, -5, -2}), ({3}, {1, 3, 7, 8, 9, -6, -5, -2}), ({-5}, {-6, -5, -2, 7}), ({-2}, {-6, -2}), ({-9}, {7, -1, -9, -6, -5, -3, -2})}"
GlobalNumpyReflectiveEquilibrium,"[[5, 3], [-6, 3], [8, -6], [1, -6], [4, -5], [9, -5], [-2, 8], [-7, -2], [-9, -1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,18,0.42117184826345,37,2,0,set(),[],{2},1,0,0,23,True,False,"{2, 7}",2,0,0,True,True,23,[set()],0,{2},"{2, 7}","[{2}, {-8}, {-3}, {6}]","[0, 0.9996111111111111, 1.0, 1.0, 1.0, 1.0]",True,1,1,0,1,0,8,[],"[{2}, {2, 7}, {2, 7}]","[{2}, {2}, {2}]",6,"{({-3}, {2, 6, 7, -8, -5, -3, -1}), ({2}, {2, 7}), ({-8}, {-8, 2, 7}), ({6}, {2, 6, 7, -8, -1})}"
GlobalNumpyReflectiveEquilibrium,"[[5, 3], [-6, 3], [8, -6], [1, -6], [4, -5], [9, -5], [-2, 8], [-7, -2], [-9, -1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,18,0.42117184826345,37,2,0,set(),[],{-2},1,0,0,14,True,False,"{8, -6, 3, -2}",4,0,0,True,True,14,[set()],0,{-2},"{8, -6, 3, -2}","[{-7}, {-2}]","[0, 0.9965, 1.0, 1.0, 1.0, 1.0]",True,3,3,0,3,0,6,[],"[{-2}, {8, -6, 3, -2}, {8, -6, 3, -2}]","[{-2}, {-2}, {-2}]",6,"{({-7}, {3, 8, -7, -6, -2}), ({-2}, {8, -6, 3, -2})}"
GlobalNumpyReflectiveEquilibrium,"[[-9, -6], [-4, 9], [-8, -9], [1, -9], [5, -1], [-3, -9], [-7, 6], [2, 7], [-2, 7], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,18,0.40867465612362636,40,2,0,{7},[],{2},1,0,0,20,True,False,"{2, 7}",2,1,0,True,True,20,[set()],0,{2},"{2, 7}",[{2}],"[0, 0.9996111111111111, 1.0, 1.0, 1.0, 1.0]",True,1,1,0,1,0,8,[],"[{2}, {2, 7}, {2, 7}]","[{2}, {2}, {2}]",6,"{({2}, {2, 7})}"
GlobalNumpyReflectiveEquilibrium,"[[-9, -6], [-4, 9], [-8, -9], [1, -9], [5, -1], [-3, -9], [-7, 6], [2, 7], [-2, 7], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,18,0.40867465612362636,40,2,0,{7},[],{-2},1,0,0,20,True,False,"{-2, 7}",2,1,0,True,True,20,[set()],0,{-2},"{-2, 7}",[{-2}],"[0, 0.9996111111111111, 1.0, 1.0, 1.0, 1.0]",True,1,1,0,1,0,8,[],"[{-2}, {-2, 7}, {-2, 7}]","[{-2}, {-2}, {-2}]",6,"{({-2}, {-2, 7})}"
GlobalNumpyReflectiveEquilibrium,"[[-6, 9], [-1, -6], [8, -9], [4, 1], [-2, 8], [5, -8], [-7, 4], [3, 9], [7, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,18,0.4547899338212757,30,2,0,set(),[],{2},1,0,0,27,True,True,{2},1,0,0,True,True,27,[set()],0,{2},{2},"[{-6}, {5}, {3}, {-8}, {9}, {-1}, {2}]","[0, 1.0, 1.0, 1.0]",True,0,0,0,0,0,9,[],"[{2}, {2}]","[{2}, {2}]",4,"{({3}, {1, 2, 3, 4, 9, -8, -7}), ({-8}, {-8, 2}), ({9}, {-8, 9, 2}), ({-6}, {-8, 9, 2, -6}), ({5}, {-8, 2, 5}), ({-1}, {2, 7, 9, -8, -6, -4, -3, -1}), ({2}, {2})}"
GlobalNumpyReflectiveEquilibrium,"[[-6, 9], [-1, -6], [8, -9], [4, 1], [-2, 8], [5, -8], [-7, 4], [3, 9], [7, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,18,0.4547899338212757,30,2,0,set(),[],{-2},1,0,0,3,True,False,{2},1,0,0,True,True,27,[set()],0,{2},{2},"[{-6}, {5}, {3}, {-8}, {9}, {-1}, {2}]","[0, 0.995679012345679, 0.9987654320987654, 0.9987654320987654, 0.9987654320987654, 0.9987654320987654]",True,2,1,1,0,0,8,[],"[{-2}, {2}, {2}]","[{2}, {2}, {2}]",6,"{({-2}, {1, 6, 8, -9, -5, -3, -2})}"
