model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_coms_min_ax_bases_theory,n_fixed_point_coms_min_ax_base_theory,fixed_point_theory,fixed_point_theory_closure,fixed_point_theory_axioms,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,coms_evolution,theory_evolution,process_length,global optima
StandardModel,"[[4, -2], [-1, 4]]",7,2,0.14285714285714285,64,2,0,set(),"[(-1, 1)]","{1, -7, -6, -4, -3}",5,0,0,4,True,True,"{1, -6, -4}",3,0,0,True,True,16,[{-6}],1.0,{-4},"{1, -4}","[{2}, {-4}]","[0, 0.9357142857142857, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,2,2,0,0,2,5,[2],"[{1, -7, -6, -4, -3}, {1, -6, -4}, {1, -6, -4}]","[{-4}, {-4}, {-4}]",6,"{({-4}, {1, -4, -3}), ({-4}, {1, -6, -4}), ({2}, {1, 2, -4, -7}), ({-4}, {1, -4, -7}), ({2}, {1, 2, -4, -3}), ({2}, {1, 2, -6, -4})}"
StandardModel,"[[4, -2], [-1, 4]]",7,2,0.14285714285714285,64,2,0,set(),"[(-1, 1)]","{1, -6}",2,0,0,24,True,True,{-6},1,0,0,True,True,32,[set()],0.0,{-6},{-6},[{-6}],"[0, 0.9928571428571428, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[1],"[{1, -6}, {-6}, {-6}]","[{-6}, {-6}, {-6}]",6,"{({-6}, {-6}), ({2}, {1, 2, -4}), ({1}, {1}), ({-4}, {1, -4})}"
StandardModel,"[[1, -3], [-2, -3]]",7,2,0.09686741501609106,80,2,0,set(),"[(1, 1), (-2, 1)]","{1, -7, -6, -4, -3}",5,0,0,4,True,True,"{1, -4, -3}",3,0,0,True,True,16,[{-4}],1.0,{1},"{1, -3}",[{1}],"[0, 0.9357142857142857, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,2,2,0,0,2,5,[2],"[{1, -7, -6, -4, -3}, {1, -4, -3}, {1, -4, -3}]","[{1}, {1}, {1}]",6,"{({1}, {1, -4, -3}), ({1}, {1, -3, -7}), ({1}, {1, -6, -3})}"
StandardModel,"[[1, -3], [-2, -3]]",7,2,0.09686741501609106,80,2,0,set(),"[(1, 1), (-2, 1)]","{1, -6}",2,0,0,16,True,False,{-6},1,0,0,True,True,40,[set()],0.0,{-6},{-6},[{-6}],"[0, 0.9928571428571428, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[],"[{1, -6}, {-6}, {-6}]","[{-6}, {-6}, {-6}]",6,"{({-6}, {-6}), ({1}, {1, -3})}"
StandardModel,"[[-2, 7], [5, 7]]",7,2,0.09686741501609106,80,2,0,set(),"[(5, 1), (-2, 1)]","{1, -7, -6, -4, -3}",5,0,0,1,True,False,"{-7, -4}",2,0,0,False,True,8,[{-7}],1.0,{-4},{-4},[{-4}],"[0, 0.8857142857142858, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673]",True,3,3,0,0,3,4,"[1, 2]","[{1, -7, -6, -4, -3}, {-7, -4}, {-7, -4}]","[{-4}, {-4}, {-4}]",6,"{({-4}, {-4, -3}), ({-7}, {-7, 2, -5, -4}), ({1}, {1, -7}), ({-4}, {1, -4}), ({1}, {1, -4}), ({-6}, {-6, -3}), ({-3}, {-6, -3}), ({-6}, {1, -6}), ({-4}, {-7, -4}), ({-7}, {-7, -6, 2, -5}), ({-3}, {1, -3}), ({1}, {1, -6}), ({-6}, {-7, -6}), ({-7}, {-7, 2, -5, -3}), ({-6}, {-6, -4}), ({-7}, {1, 2, -5, -7}), ({1}, {1, -3}), ({-3}, {-7, -3}), ({-4}, {-6, -4}), ({-3}, {-4, -3})}"
StandardModel,"[[-2, 7], [5, 7]]",7,2,0.09686741501609106,80,2,0,set(),"[(5, 1), (-2, 1)]","{1, -6}",2,0,0,20,True,True,{-6},1,0,0,True,True,40,[set()],0.0,{-6},{-6},[{-6}],"[0, 0.9928571428571428, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[1],"[{1, -6}, {-6}, {-6}]","[{-6}, {-6}, {-6}]",6,"{({-6}, {-6}), ({1}, {1})}"
StandardModel,"[[5, 6], [3, 5]]",7,2,0.14285714285714285,64,2,0,set(),"[(3, 1)]","{1, -7, -6, -4, -3}",5,0,0,2,True,False,"{-7, -6, -5, -3}",4,0,0,True,True,8,[{-7}],1.0,{-6},"{-6, -5, -3}",[{-6}],"[0, 0.9278392857142858, 0.9574617346938775, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,3,3,0,1,2,4,[1],"[{1, -7, -6, -4, -3}, {-7, -6, -5, -3}, {-7, -6, -5, -3}]","[{-7, -6}, {-6}, {-6}]",6,"{({-6}, {-7, -6, -5, -3}), ({-6}, {1, -6, -5, -3}), ({-6}, {-6, -5, -4, -3})}"
StandardModel,"[[5, 6], [3, 5]]",7,2,0.14285714285714285,64,2,0,set(),"[(3, 1)]","{1, -6}",2,0,0,8,True,False,{1},1,0,0,True,True,32,[set()],0.0,{1},{1},[{1}],"[0, 0.9928571428571428, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[],"[{1, -6}, {1}, {1}]","[{1}, {1}, {1}]",6,"{({-6}, {-6, -5, -3}), ({1}, {1})}"
StandardModel,"[[3, -1], [6, -1]]",7,2,0.09686741501609106,80,2,0,set(),"[(3, 1), (6, 1)]","{1, -7, -6, -4, -3}",5,0,0,4,True,True,"{1, -6, -3}",3,0,0,True,True,16,[set()],0.0,{1},"{1, -6, -3}",[{1}],"[0, 0.9714285714285714, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,2,2,0,0,2,5,[],"[{1, -7, -6, -4, -3}, {1, -6, -3}, {1, -6, -3}]","[{1}, {1}, {1}]",6,"{({1}, {1, -6, -3})}"
StandardModel,"[[3, -1], [6, -1]]",7,2,0.09686741501609106,80,2,0,set(),"[(3, 1), (6, 1)]","{1, -6}",2,0,0,16,True,False,"{1, -6, -3}",3,0,0,True,True,16,[set()],0.0,{1},"{1, -6, -3}",[{1}],"[0, 0.9993571428571428, 1.0, 1.0, 1.0, 1.0]",True,1,1,0,1,0,6,[],"[{1, -6}, {1, -6, -3}, {1, -6, -3}]","[{1}, {1}, {1}]",6,"{({1}, {1, -6, -3})}"
