model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_min_ax_bases,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_coms_min_ax_bases,n_fixed_point_coms_min_ax_base,fixed_point_coms_min_ax_bases_theory,n_fixed_point_coms_min_ax_base_theory,fixed_point_theory,fixed_point_theory_closure,fixed_point_theory_axioms,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,coms_evolution,theory_evolution,process_length,global optima
LocalStandardReflectiveEquilibrium,"[[-7, 2], [-5, -2], [1, 2], [-3, -7], [6, 5], [-4, -2], [-2, -7], [2, 1], [-7, -2]]",7,9,0.8571428571428571,2,2,0,"{1, 2, 3, 4, 5, 7}","[(6, 1), (-4, 1), (-3, 1)]","{1, 4, -6, -5, -2}",5,2,2,,0,False,,"{1, 2, 3, 4, 5, 7, -6}",7,6,0,True,True,1,[{-6}],1.0,[set()],0.0,{-6},"{1, 2, 3, 4, 5, 7, -6}",[{-6}],"[0, 0.8921507936507936, 0.9343956916099774, 0.9796734693877551, 0.989265306122449, 0.989265306122449, 0.9911938775510204, 0.9911938775510204, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,6,4,2,2,0,3,"[2, 6]","[{1, 4, -6, -5, -2}, {1, 2, 4, -6, -5}, {1, 2, 4, 5, -6}, {1, 2, 3, 4, 5, -6}, {1, 2, 3, 4, 5, 7, -6}, {1, 2, 3, 4, 5, 7, -6}]","[set(), {-6}, {-6}, {-6}, {-6}, {-6}]",12,
LocalStandardReflectiveEquilibrium,"[[-7, 2], [-5, -2], [1, 2], [-3, -7], [6, 5], [-4, -2], [-2, -7], [2, 1], [-7, -2]]",7,9,0.8571428571428571,2,2,0,"{1, 2, 3, 4, 5, 7}","[(6, 1), (-4, 1), (-3, 1)]","{2, 3, 4, 6, -5}",5,3,1,,0,False,,"{1, 2, 3, 4, 5, 6, 7}",7,6,0,True,True,1,[{6}],1.0,[set()],0.0,{6},"{1, 2, 3, 4, 5, 6, 7}",[{6}],"[0, 0.9364365079365079, 0.9643956916099774, 0.9953877551020409, 0.9973163265306122, 0.9973163265306122, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,4,3,1,2,0,4,"[2, 4]","[{2, 3, 4, 6, -5}, {2, 3, 4, 5, 6}, {2, 3, 4, 5, 6, 7}, {1, 2, 3, 4, 5, 6, 7}, {1, 2, 3, 4, 5, 6, 7}]","[set(), {6}, {6}, {6}, {6}]",10,
LocalStandardReflectiveEquilibrium,"[[-7, 1], [5, -1], [6, 1], [3, -6], [-2, -6], [-4, 1], [5, -4], [2, -3], [-5, -2]]",7,9,0.5254388435875197,10,2,0,"{-6, -5, -2}","[(5, 2), (-7, 1), (-5, 1)]","{1, 4, -6, -5, -2}",5,3,0,"[{1, 4}]",4,True,True,"{-6, -5, 4, -2}",4,3,0,True,True,6,[{4}],1.0,[set()],0.0,{4},"{-6, -5, 4, -2}","[{4}, {-1}]","[0, 0.9103174603174603, 0.9297052154195011, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[2],"[{1, 4, -6, -5, -2}, {-6, -5, 4, -2}, {-6, -5, 4, -2}]","[set(), {4}, {4}]",6,
LocalStandardReflectiveEquilibrium,"[[-7, 1], [5, -1], [6, 1], [3, -6], [-2, -6], [-4, 1], [5, -4], [2, -3], [-5, -2]]",7,9,0.5254388435875197,10,2,0,"{-6, -5, -2}","[(5, 2), (-7, 1), (-5, 1)]","{2, 3, 4, 6, -5}",5,1,2,,0,False,,"{3, 4, -6, -5, -2}",5,3,0,True,True,3,"[{3, 4}]",2.0,[{3}],1.0,{4},"{-6, -5, 4, -2}","[{4}, {-1}]","[0, 0.8246031746031747, 0.872562358276644, 0.9693877551020409, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,4,2,2,0,0,5,"[2, 3, 4]","[{2, 3, 4, 6, -5}, {3, 4, 6, -5, -2}, {3, 4, -6, -5, -2}, {3, 4, -6, -5, -2}]","[set(), {4}, {4}, {4}]",8,
LocalStandardReflectiveEquilibrium,"[[-2, 3], [-1, -2], [4, -3], [-7, 4], [-5, 7], [-6, -7], [-5, 4], [7, 2], [-5, -2]]",7,9,0.6682959864446626,5,2,0,"{1, 2, 5}","[(-1, 1), (-6, 1), (-5, 3)]","{1, 4, -6, -5, -2}",5,1,2,,0,False,,"{1, 2, 4, 5, -7, -6, -3}",7,3,0,True,True,1,[{-6}],1.0,[set()],0.0,{-6},"{1, 2, 4, 5, -7, -6, -3}",[{-6}],"[0, 0.8246031746031747, 0.872562358276644, 0.9796734693877551, 0.989265306122449, 0.989265306122449, 0.9911938775510204, 0.9911938775510204, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,6,4,2,2,0,3,"[2, 6]","[{1, 4, -6, -5, -2}, {1, 2, 4, -6, -5}, {1, 2, 4, 5, -6}, {1, 2, 4, 5, -6, -3}, {1, 2, 4, 5, -7, -6, -3}, {1, 2, 4, 5, -7, -6, -3}]","[set(), {-6}, {-6}, {-6}, {-6}, {-6}]",12,
LocalStandardReflectiveEquilibrium,"[[-2, 3], [-1, -2], [4, -3], [-7, 4], [-5, 7], [-6, -7], [-5, 4], [7, 2], [-5, -2]]",7,9,0.6682959864446626,5,2,0,"{1, 2, 5}","[(-1, 1), (-6, 1), (-5, 3)]","{2, 3, 4, 6, -5}",5,1,1,,0,False,,"{1, 2, 4, 5, 6}",5,3,0,False,True,2,"[{4, 6}]",2.0,[{4}],1.0,{6},"{1, 2, 5, 6}","[{6}, {-4}, {7}, {3}]","[0, 0.8068174603174604, 0.8590623582766441, 0.9601734693877553, 0.9797653061224489, 0.9797653061224489, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,4,3,1,1,1,4,"[2, 4]","[{2, 3, 4, 6, -5}, {2, -5, 4, 6}, {2, 4, 5, 6}, {1, 2, 4, 5, 6}, {1, 2, 4, 5, 6}]","[set(), {6}, {6}, {6}, {6}]",10,
LocalStandardReflectiveEquilibrium,"[[5, -7], [-2, -7], [4, -5], [3, 7], [1, 5], [6, 5], [-4, 6], [-4, 3], [-1, 7]]",7,9,0.8571428571428571,2,2,0,"{2, 4, 7, -6, -5, -1}","[(1, 1), (4, 1), (-1, 1), (-4, 2), (-2, 1)]","{1, 4, -6, -5, -2}",5,3,2,,0,False,,"{2, 4, 7, -6, -5, -1}",6,6,0,True,True,2,[set()],0.0,[set()],0.0,{2},"{2, 4, 7, -6, -5, -1}",[set()],"[0, 0.9469365079365079, 0.9706099773242631, 0.9858877551020409, 0.9911938775510204, 0.9911938775510204, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,5,3,2,1,0,4,"[2, 3]","[{1, 4, -6, -5, -2}, {4, -1, -6, -5, -2}, {2, 4, -6, -5, -1}, {2, 4, 7, -6, -5, -1}, {2, 4, 7, -6, -5, -1}]","[set(), {2}, {2}, {2}, {2}]",10,
LocalStandardReflectiveEquilibrium,"[[5, -7], [-2, -7], [4, -5], [3, 7], [1, 5], [6, 5], [-4, 6], [-4, 3], [-1, 7]]",7,9,0.8571428571428571,2,2,0,"{2, 4, 7, -6, -5, -1}","[(1, 1), (4, 1), (-1, 1), (-4, 2), (-2, 1)]","{2, 3, 4, 6, -5}",5,3,1,,0,False,,"{2, 4, 7, -6, -5, -1}",6,6,0,True,True,2,[set()],0.0,[set()],0.0,{7},"{2, 4, 7, -6, -5, -1}",[set()],"[0, 0.9364365079365079, 0.9643956916099774, 0.9796734693877551, 0.989265306122449, 0.989265306122449, 0.9911938775510204, 0.9911938775510204, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,5,4,1,2,1,3,"[2, 3, 6]","[{2, 3, 4, 6, -5}, {2, -5, 4, 6}, {-6, 2, 4, -5}, {2, 4, 7, -6, -5}, {2, 4, 7, -6, -5, -1}, {2, 4, 7, -6, -5, -1}]","[set(), {7}, {7}, {7}, {7}, {7}]",12,
LocalStandardReflectiveEquilibrium,"[[5, -7], [3, -7], [1, -3], [-6, 3], [2, -1], [-4, 2], [4, -1], [-5, 6], [6, -3]]",7,9,0.4878624998969777,12,2,0,{-1},"[(4, 1), (5, 1), (-5, 1), (-4, 1)]","{1, 4, -6, -5, -2}",5,0,1,,0,False,,"{-5, 4, -1, -2}",4,1,0,False,True,2,"[{-5, -2}]",2.0,[{-5}],1.0,{-2},"{4, -1, -2}",[{-2}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9693877551020409, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,3,2,1,0,1,5,"[2, 4]","[{1, 4, -6, -5, -2}, {4, -1, -6, -5, -2}, {-5, 4, -1, -2}, {-5, 4, -1, -2}]","[set(), {-2}, {-2}, {-2}]",8,
LocalStandardReflectiveEquilibrium,"[[5, -7], [3, -7], [1, -3], [-6, 3], [2, -1], [-4, 2], [4, -1], [-5, 6], [6, -3]]",7,9,0.4878624998969777,12,2,0,{-1},"[(4, 1), (5, 1), (-5, 1), (-4, 1)]","{2, 3, 4, 6, -5}",5,0,0,,0,False,,"{4, 6, -5, -3, -1}",5,1,0,True,True,4,"[{-5, 4}]",2.0,[{4}],1.0,{-5},"{-5, -3, -1, 6}","[{7}, {-5}]","[0, 0.24935714285714286, 0.3158877551020408, 0.9496734693877551, 0.9735510204081632, 0.9735510204081632, 0.9797653061224489, 0.9797653061224489, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,4,3,1,1,1,4,"[2, 4, 6]","[{2, 3, 4, 6, -5}, {2, -5, 4, 6}, {-5, 4, 6}, {-5, 4, -3, 6}, {4, 6, -5, -3, -1}, {4, 6, -5, -3, -1}]","[set(), {-5}, {-5}, {-5}, {-5}, {-5}]",12,
